# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  0)   0.084 us    |    __bio_add_page();
  0)   0.431 us    |  }
  0)               |  bio_add_page() {
  0)   0.080 us    |    __bio_add_page();
  0)   0.454 us    |  }
  0)               |  bio_add_page() {
  0)   0.075 us    |    __bio_add_page();
  0)   0.417 us    |  }
  0)               |  bio_add_page() {
  0)   0.080 us    |    __bio_add_page();
  0)   0.411 us    |  }
  0)               |  bio_add_page() {
  0)   0.082 us    |    __bio_add_page();
  0)   0.419 us    |  }
  0)               |  bio_add_page() {
  0)   0.083 us    |    __bio_add_page();
  0)   0.407 us    |  }
  0)               |  bio_add_page() {
  0)   0.074 us    |    __bio_add_page();
  0)   0.405 us    |  }
  0)               |  bio_add_page() {
  0)   0.083 us    |    __bio_add_page();
  0)   0.410 us    |  }
  0)               |  bio_add_page() {
  0)   0.075 us    |    __bio_add_page();
  0)   0.414 us    |  }
  0)               |  bio_add_page() {
  0)   0.075 us    |    __bio_add_page();
  0)   0.417 us    |  }
  0)               |  bio_add_page() {
  0)   0.080 us    |    __bio_add_page();
  0)   0.410 us    |  }
  0)               |  bio_add_page() {
  0)   0.086 us    |    __bio_add_page();
  0)   0.446 us    |  }
  0)               |  submit_bio() {
  0)   0.406 us    |    blk_throtl_bio();
  0)               |    __split_and_process_bio [dm_mod]() {
  0)   0.208 us    |      bio_alloc_bioset();
  0)   0.039 us    |      __bio_clone_fast();
  0)   0.055 us    |      bio_advance();
  0)               |      __map_bio [dm_mod]() {
  0)   0.260 us    |        blk_throtl_bio();
  0)   0.963 us    |      }
  0)   3.170 us    |    }
  0)               |    blk_queue_bio() {
  0)   0.107 us    |      blk_queue_bounce();
  0)   0.050 us    |      bio_integrity_enabled();
  0)   0.053 us    |      blk_attempt_plug_merge();
  0)   0.094 us    |      blk_rq_init();
  0)   0.054 us    |      check_blkcg_changed();
  0)               |      init_request_from_bio() {
  0)               |        blk_rq_bio_prep() {
  0)               |          blk_recount_segments() {
  0)   0.334 us    |            __blk_recalc_rq_segments();
  0)   0.821 us    |          }
  0)   1.338 us    |        }
  0)   1.770 us    |      }
  0)   0.326 us    |      blk_account_io_start();
  0)   7.928 us    |    }
  0) + 14.037 us   |  }
  0)               |  blk_finish_plug() {
